Post,Comments
" We are looking to hire some talented folks wandering around the town to join the most friendly and hard working team in the town, TxLabz. This job post is for multiple positions so while applying please mention the job title in the email subject.  Brief: We are looking for a Front-end Web Developer who is motivated to combine the art of design with the art of programming. ",{'Hassan Latif': {}}
" # 2. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's.   # 8. Good understanding of SEO principles and ensuring that application will adhere to them. # 9. Strong grasp of security principles and how they apply to web applications ",{'Saqlain Shah': {}}
"Our company (Experts Vision) needs persons to join  us on project basis. You will get permanent work based on your expertise. You must be in Rawalpindi/ Islamabad so we could do project meetings in our office located besides Comsats University, Chakshezad Islamabad. You must have solid experience in which you will apply because we will take detailed interview and test.  You can also work in our office and in case you want to work from home you should have stable internet conn...ection in home and also you should be available for meetings at our office. We need persons in following fields: Unity 3D  Android and IOS Asp.net and C# Python (Machine learning, data mining, deep learning) Matlab (Image processing, Machine Learning, Digital Communication, Signal Processing) IOT (arduino and Rasberry PI) Solidworks Please send your detailed CVs/ Portfolio at expertsvision@live.com and mention the tools you are applying for in the subject.  Please only apply if you have more than 3 years of experience in above mentioned tools after completion of studies!!",{}
"Institute of Training, Development & Research (ITDR): School/College Jobs available: 1) Montessori..Female Teacher..9th.10th.Computer...School...Female Teacher...Kaller Sayedan...Free Accomodation..Free Pick and Drop.. 2) 9th 10th..Bio.Phy.Chemistry...Male Teacher..Kaller Syedan...Free Accomodation..Free Pick and Drop... 3) 9th.10th.FA/FSc...English...College..Kallar Kahar..Free Accomodation..... Contact: 0332-2750381, 0300-2750381, 0313-2750381",{'Dam Skillz': {}}
,"{'Muhammad Jalal': {}, 'Muhammad Ahmed': {'text': 'Fast is better but its expensive'}}"
Following Vacancies For Islamabad office:,{}
,{}
,{}
SimpliCity Labs NUST Islamabad are looking to hire interns Paid Internship Leading to job,{}
"Required Angularjs 2 Developer for Software industry, with expert knowledge of jQuery, HTML5 & Bootstrap CSS. Open for all Nationalities. Candidate must have 2 years of experience and completed 3 successful projects.Salary SAR 14K-18K. Location Riyadh, KSA. Email us: info@worldhiring.com",{}
,"{'Fatima Ali': {'text': ""Nowadays You'll be able to Site FREE thoroughly FREE Ad's for use on your procurment Bedspace, Rooms, Business together with aprarments right here,hope will help you you'll together with at no cost about charge by under websitehttp://bit.ly/2jKo9JO'""}}"
VTB is offering internships in following fields,{}
,{}
Federal Public Service Commission Latest Jobs August 2017 Advertisement No 8/2017 https://goo.gl/G3G6kw,{}
State Bank of Pakistan SBP Latest Jobs 2017 for OG-1 Officers 8th Batch https://goo.gl/iHfiHL,{}
Bank of Punjab BOP Latest Jobs 2017 https://goo.gl/r9xBg3,{}
,{}
SCHOLARSHIP FOR THE PAKISTANI STUDENTS FOR ADMISSION IN THE MOROCCAN PUBLIC INSTITUTIONS 2017-18 https://goo.gl/DmtGLs,{}
,{}
"JOB ALERT ⚠ Vacancies Opened 2017# #A SECP Recognized Fast Growing International USA based Company Hiring professional staff. Limited Applications last date 15 August.  Apply Now Read Carefully(only for Lahore) ... SMS Your CV: 0310-4980198/what's app. Male/Female, Staff Required For the Following Office & Home Based Duties #Education & Trainings....! 10Vacancies  Qualification Required: O/A levels graduates, Master's  Duties: Regular Trainings,  IT Courses, Skill Teaching,motivation  lecture's #Interested Candidate send their short CV .....!  Write SMS:Your Name, Qualification, , Age, current location Email, skills &  Send to 0310-4980198 /What's app.",{}
,{}
"Softech Microsystems are looking for 'Manager Sales', 'Network Engineers' and 'Systems Engineers' for below positions: 1- Manager Sales (4 years  experience of IT B2B Sales) 2- Sales Executive (2 years experience of B2B sales) 3- Lead Generation Specialist (Females with 2 years of sales experience)... 4- Network Engineer (CCNP Certified with 2 years of experience) 5- Trainee Network Engineer (CCNA Certified) 6- Systems Engineer (Microsoft or Linux Certified with 2 years of experience) 7- Systems Engineer (Microsoft or Linux Certified) Apply at 'http://www.softechms.com/careers/' or Send your resume at jobs@sotechms.com",{}
"Jobs Available in one of Polish Top Bank (Poland, Euorpe). Candidate should have deep knowledge of C++ programming and atleast 1 year of experience. Salary 2000 - 5000 Euros No restriction of Gender. For more info inbox me.",{}
FIRST semester of CS books(basic electronics and introduction to computing) in pdf plz... or suggest which one to dowload from web.  thanks.,"{'Hamza Saeed': {'text': 'Basic Electronics: Boylstead 11th EditionItC: edison wisely, daniel & daniel, It actually depends on your understanding. Everyone finds a different book better and understandable for them.'}, 'Ahmad Farhan': {}}"
When will the classes of Bs EE/CS will start in session 2017,{'Ahmad Farhan': {}}
,"{'Salman Tarique': {'text': 'Junaid Tariq'}, 'Haseeb Waqar': {'text': ""Just don't go to peshawar campus""}}"
FIRST semester of CS books(basic electronics and introduction to computing) in pdf plz... or suggest which one to dowload from web.  thanks.,{}
What are MS admissions schedule #Fall_Semester,{}
,"{'Sanjay Kumar': {}, 'Jai Kishan': {}}"
"I have been selected in Fast islamabad . Now can i send all my documents fully completed with DD  or is it really necessary for me to visit now . if i do not visit now , will it cause admission problems . I am from hyd and its damn difficult to go to isb campus just for verification ... Help needed seniors .","{'Ali Arbab': {}, 'Abdul Basit Abbasi': {'text': 'Talk to manager admissions in isb campus. You can get number from website of fast uni is campus.'}}"
FAST islamabad hostels can i get any information,{'Nilesh Kumar': {}}
FAST NU Islamabad ki fees structure kos bata skta hey. first semester : each semester : per anum : total 4 year...  plz,{'Zulauj Taseer': {'text': '93000(tuition fee)+some first time admission fee'}}
,"{'Zulauj Taseer': {}, 'Tauseeq Ali Marral': {}}"
,{'Ali Arbab': {}}
how to check a fast result😌😌😌,{}
Swap needed. If Anyone want to swap from FAST Lahore campus to Islamabad campus. Kindky Contact me. 03414538838 03245486621 musabbilalsatti@gmail.com I want to transfer my admission from Islamabad to Lahore.... MSCS Program.,{}
,{}
for bscs fast islamabad or comsats lahore or itu. which one is best.Can we transfer after one semester from one campus to other in fast. need advice,{}
  If you are a:  - SEO/SEM   - Web Developer...  - Marketing Strategist   - Admin  - Intern,{'Nouman Siddique': {}}
fast karachi and Islamabad   per semesters fees ??  and please guide me  step by step after test and after merit  list  what to do next and how to do ? plz,"{'Hamza Ejaz Malik': {'text': '120,000.00 per semester'}}"
,{}
"Career Pakistan (CP) is looking for candidates for the position of Backend Engineer at a Multinational Company. Salary:  PKR​ 80K to 200K -- ​ ​ may vary depending upon candidate's profile Essential Requirements (by Career Pakistan): Sector and Company Type: Experience in large Software Development Company Function: -- Experience of writing software codes Preferred: --​ ​ Experience with distributed systems engineering and frameworks such as Akka or Elixir -- Experience on large scale big data technologies such as HBase and Spark (both in Java and Scala) [Please note: If you have such experience, please explain it in your CV] Years of Experience: Minimum 3 years of relevant work experience Note: -- While sending CV, please mention your current/last monthly salary​.​",{}
Punjab Information Technology Board PITB Jobs 2017 https://goo.gl/8Fpj8G,{}
"Dear all, Last chance to apply for admission in the master program with specialization in Advanced Electronics. Hurry up and become the part of the most funded Advanced Electronics specific grant in Pakistan.  Regards",{}
,{}
Telenor Job opening Android developer Experience: minimum one year to 3 years Mail to : junaidatique@gmail.com,{}
Fast uni k test k liye kis tarah ki tayari karni chahiye????,{}
,{}
Prime Minister National ICT  Internship Program for IT Students 2017 Apply Online https://goo.gl/SyLV87,{}
,{}
,{}
,{}
,{}
,{}
,{}
,{}
,{}
"Frnd plz help me,Fast ke last date 7 july hai mgr aaj mtlb 6 july  py form fill kiya to us k challan py likha tha due date 6 july.plz guide mn ab kya krun kya meri suba means 7th july  py fees submit ho sakte hai?",{'Rana Farhan Wadood': {}}
,{}
,{}
,{}
,{}
NESTLE Jobs in Pakistan for Nutrition Specialists and Assistant Medical Advisors 2017,{}
VTB is hiring Candidates for different vacancies 2017,{}
"Our Next batch of ""Enterprise Datawarehouse Ecosystem"" course is starting from 10th July, 2017. For further details and registration please click here: https://goo.gl/RYYFBZ. Call us on 051-8356066 or Contact us via email at: info@diceanalytics.pk",{}
Is there anyone who is doing MSCS from Fast??? Need some information regarding admission test. On website test pattern for MSCS is following. 10% Essay Writing. 15% Analytical and IQ. 75% Specialization area.,{'Rubab Zahid': {}}
How much marks should I have in fast nu test to get admission in electrical engineering in islamabad  I have 829 Matric and 398 in fsc part 1?,{'Muhammad Shaad Ahmed': {'text': 'Above 60 (including negative marking) and consider yourself in.'}}
"Asalamu-alaikum..  I want to do MS in Software Engineering from Fast University, can anyone please help me that what type of test Fast university have for MS students? is there any guide with anyone to share ..? thanks!","{'Shoaib Saleem': {}, 'Syed Atif Raza': {'text': 'Same question.. is anyone there who is doing MS from Fast to help..'}}"
,{}
Anyone who has done MS CS from FAST? Want to ask few questions about the program...,"{'Muhammad Jalal': {}, 'Syed Atif Raza': {'text': ""On website its written that 10% is essay writing, 15% would be analytical reasoning or IQ and 75% would be course.So what can you tell me what is included in course work?What's its difficulty level as compared to NTS test?""}}"
JOB OPPORTUNITIES IN PAEC FOR DIPLOMA HOLDERS AND SCIENCE GRADUATES TRAINING TO BE HELD AT KINPOE KARACHI AND CHASCENT MIANWALI https://goo.gl/BgjKDp,{}
HEC Science Talent Farming Scheme Scholarship For Matric And Intermediate Students Advertisement Latest Outstanding Opportunity for Inter and Matric Students of Pakistan,{}
,{}
FAST ka MBA non-BBA wlo k lie hai kya?,"{'Hassan Rana': {'text': 'Yup, MBA Evening program for non business graduates, not recommended. You might get admission and then they will close the program at the last stage as they are doing for last two years because of lack of students. Moreover they do not entertain evening students in case of any query'}, 'Mehtab Arshad': {'text': 'check prospectus or online eligibilty criteria.. :-)'}}"
"***VTB is hiring for following positions*** 1-Sr. Java Developer [Java EE, Spring & Hibernate experience of 4+ years] 2- Sr. Software Engineer [Java] with 4+ years experience 3- System Architect [8+ years experience] 4- IT Project Lead [8+ years experience]... All positions are Islamabad based but out-stationed candidates are encouraged to apply and will be compensated accordingly. If you want to be a part of growing, challenging and rewarding work environment then this is a best opportunity for you. Job Timings: Morning Shift send resume at :  meharnisha.007@gmail.com and add my reference in the email also mention position applied for in the subject line.",{'Hamza Idrees': {}}
CM #Chinese #Scholarship #program 2017 Batch 4 https://goo.gl/9PFG38,{}
Latest #HEC #Overseas #Scholarship 2017 for Phd https://goo.gl/MrDRtv,{}
"Job Title: Pre-sales Engineer Location: Karachi, Lahore and Islamabad Qualification: BE/BSCS Certifications: CCNP We are looking for a ‘Pre-sales Engineer’ to Work on Big Brands of IT industry; Sophos, Cyberoam, Kaspersky, Barracuda, Watchguard, etc to expand our business. Our ideal candidate is a person having atleast 2 years of experience in installation of information security related products at system integrator.  Interested candidates may send their resumes at ‘jobs@softechms.com’ with the position title mentioned in the subject line or tag in the right professional.",{}
Vacancies of software engineer in IT department of Arshad Group Faisalabad https://goo.gl/2Y7jTh,{}
Masood Textile Mills Ltd required urgent applications for the post of Oracle Software Engineer https://goo.gl/UkKDEm,{}
,{}
Urgently required  Post:marketing MTO (Management Trainee Officer)  Gender:Female Salary:30-35k Location:lahore... Qualification:Graduation upto 300k annual bonus(depending on performance) 200k medical allowance if you stick with them for 1 Year a good candidate shall have good communication skills and be presentable interested candidates send cv at hr7@careerz360.pk along with their picture.Kindly mention post in the Subject section,{}
"Urgently Required! Our Client is a well reputed Company looking for an INTERNESHIP OPPORTUNITY at their Firm  Post: CONTENT WRITER  Qualification: Equivalent to A-Level/Inter Salary: Upto PKR 15 Thousands... Experience:  1:Good English Writing & Verbal Skills. 2:Have a High Standard of Written material and able to create impact. 3:Experience with Microsoft Word,HTML. 4:Able to meet DEADLINES. Location: Lahore Interested Candidates Are Required to Share their Resumes at hr7@careerz360.pk along with their picture",{}
can anyone please send me the timetable of summer semester#17 courses ???  ? i needit,{'Moazzam Nawaz Warraich': {}}
"Job Title: Trainee Network Engineer Location: Karachi Qualification: BE/BSCS (Telecommunication/Network) Certifications: CCNA/CCNP (Preferred) We are looking for a ‘Trainee Network Engineer’ to work on our internal our internal network. Candidate must have internship experience and good knowledge of  Tcp/IP, SIP, VLAN, WLANS, Clouds And Network Infrastructure  Interested candidates may send their resumes at ‘jobs@softechms.com’ with the position title mentioned in the subject line or tag in the right professionals.",{}
Summer Internship Program at BroadPeak Technologies for FAST-NU Lahore undergraduate students Location: Lahore Duration: 6 Weeks Department: Software Development Apply at: hrubab@broadpeak.com... #BroadPeak #Lahore #Paid #Internship #Undergraduates #CSStudents #FASTNU #LUMS,{}
":: MOBILE APPLICATION DEVELOPER REQUIRED :: Application Deadline: Midday, Sunday, 14th May 2017. Anzen is an organisation dealing with cutting edge technology such as AI, IoT and deep learning networks. We are looking for passionate young individuals who want utilize their job to learn new technologies, develop new systems and take ownership of projects in mobile application development domain.   We hire individuals who are self-motivated and quick learners, can collaborate w...ith team mates and superiors to deliver and finalize the tasks assigned to them. Before sending us your CV, kindly review them. Add the relevant experience/ projects that you might have done, links to projects and live apps etc. Remove any unnecessary details. Generic CVs will be discarded. = Minimum Experience: Fresh or Recent Graduates Excellent skills and minimum 1 year relevant experience in mobile application, server side scripting, NodeJS API and UI development. = Minimum Qualifications: Bachelor’s degree preferably Computer Engineering/ Computer Software Engineering/ Computer Science Master’s degree (added advantage) = Technical Skills: • Core understanding of Android application development. • Core understanding of Databases, Server side interaction, API development. • Basic level skills in photoshop or Illustrator for front end modifications. = Knowledge & Skills: • High level of understanding of upcoming technologies and their industrial application. • Passionate about creating systems based on mobile application and web based systems. • Demonstrable experience and understanding of Application level programming paradigms. • Excellent organization skills • Excellent written and oral communication skills (English and Urdu) • Good presentation and negotiation skills • Good organizational and time management skills",{}
" We are looking for a full time WordPress Developer who will be working on site in our office near Commercial Market RWP.... Excellent knowledge of PHP, XHTML, CSS, JavaScript, jQuery and MySQL queries. Extensive experience building responsive WordPress themes and CMS websites from PSD/HTML designs and customizing existing WordPress themes. Experience working with WordPress including in-depth understanding of the existing WordPress functions, coding standards for plugins/widgets, custom post types, WooCommerce and theme integration using best practices. Strong expertise in creating WordPress CMS architectures from scratch based on specifications. Strong understanding of existing WordPress frameworks and willing to learn them if needed. Outstanding problem solving abilities, with a knack for turning complex business needs into clear, intuitive functionality patterns and architectures. Be willing to help your teammates, share your knowledge with them, and learn from them. Excellent communication skills. Please apply with your latest resume and portfolio at usman@propakistani.pk (be sure to include job code ""PPMay2017"" ). Include your expected compensation as well.",{}
Guys Kia koe FAST UNI ISLAMABAD ka BSCS & Software engineering ka last time merit bta sakta hai ?,{}
"PTCL ClimbtheSummit Recruitment Drive is coming to FAST - NUCES Islamabad on Tuesday, 2nd May 2017! Look for the ClimbTheSummit team around your campus for more information. https://www.facebook.com/events/933869430088099/",{}
"JOB ALERT ⚠ Vacancies Opened: 2017 Only For Lahore  Limited Applications,   Apply Now Read Carefully,  ... SMS Your CV: 0310-4980198 #Interested & Serious Persons Send Their Short Resume SMS Format ( Name, qualifications, age, current location, Email address,) on 03104-980198  #Note:  After Applying,  You will Get a Reply of Appointment Text.  Read Carefully,  &  Reach in The Office for Interview on Mentioned Time.Thanks.",{'Misbah Ali': {'text': 'Talal Haider'}}
"Urgent Hiring!!! Jobs in Dubai  https://goo.gl/uHNrAC  we are looking for .NET developer, QA,Engineer and Accountant in Sales and Marketing Persons who have some experince in following fields Experience: 1+ yr or freshers  Apply Online through this link  https://goo.gl/uHNrAC  as soon as possible'","{'ايوب انصاری': {}, 'Danyal Rajput': {}}"
 **SPECIAL DISCOUNT FOR STUDENTS** Fill out the form and we'll get back to you. https://goo.gl/forms/SFtuh6QTqE5WE23M2,{}
"We are looking for ‘Sales Executive’ for IT related products. Our ideal candidate would be a female with atleast 2 years of experience in sales, Business Development and/or Customer Services.  Interested candidates may send their resume at ‘jobs@softechms.com’ with position title mentioned in the subject line or tag in the right professional. For further details, check job description at ‘",{}
,{}
,{}
Asslamualikum i am pre medical student can i apply in CS in fast University?,"{'Syed Ali Hasnain': {'text': 'Bro you need to pass additional maths to do that'}, 'Abdul Salam': {'text': ""You can apply but math's is required,""}}"
6 Engineers are Required for firm in islamabad. Lumsum amount will be payed. experience letter will be given to you And also you can visit cite whenever you want to. اسلام ابار کی کمپنی کو 6 انجینر چا ہے  پیسے اسی وقت دے دئے جاۓ گے ... experience letter b bna duga usi wqt aur jab dil karay ap log cite bhi visit kar skty ho.,{'Hassan Latif': {}}
,{}
"The world is full of problems. What we need is a problem solver!!  Don't let the world tell you that your ideas are not worth it!  Come to us and show your crea...tive problem solving skills!!  Remember, Creative yet sustainable!! That's the Key! IEEE Computer Society, FAST-NUCES, Lahore brings you the BIGGEST IDEATHON CHALLENGE!! Stay Tuned for more details. Registrations will be opening soon.",{}
"InVogue Sol. is looking for a passionate Unity(2D/3D) game developer. Candidate must have developed at-least two games for IOS/Android platform. It's a great opportunity! to join emerging startup.  Following are some mandatory requirements.  - Excellent programming skills - Strong problem solving abilities - Unity game development experience ... - Excellent Scripting skills  - Optimum Game logic and AI abilities - Must know Unity GUI, Asset Bundles, Memory Management Materials/Shaders, particle system etc - Must be able to provide top UI/UX experience  - Expertise in utilising fundamentals of OOP & design patterns  - Must participate in all phases of project lifecycle (design, build, test)  - Must provide links of apps if available Fresh graduates are encouraged to apply!",{'Hurair Hashmi': {'text': 'Muhammad Tashfeen'}}
,{}
,{}
"We are looking for ‘Inside Sales Executive’ for IT related products. Our ideal candidate will be a female with atleast 1-2 years of experience in sales, Business Development and/or Customer Services.  Interested candidates may send their resume at ‘jobs@softechms.com’ with the position title mentioned in the subject line or tag in the right professional. For further details, check job description at ‘http://www.softechms.com/careers/",{}
,{}
Can some please send me Handa book for objective questions related to electrical engineering in scanned form. If some one has the book please scan it and post the link or send it to me. i shall be greatful,{}
Registrations extended till Friday 10th March 2017. Register NOW at www.softecnu.org if you haven't already. Those participants who want to pay their registration fee in cash can visit the university campus anytime between 9:00 am to 8:00  pm to pay their dues.  #SOFTEC17 #RefuseToLose,{}
 register before 5th of march... https://www.facebook.com/events/1621115674864556/?active_tab=discussion,{'Khan Sahab': {}}
 register before 5th of march... https://www.facebook.com/events/1621115674864556/?active_tab=discussion,{}
"Get ready to brainstorm your minds with Scientific sessions,Youth talks and Intellectual lectures.#4thISYS Registrations are open: https://docs.google.com/…/1FAIpQLSeQiHJPgW9T_pE9D8…/viewform",{'Ali Ayub': {}}
"Ladies and Gentlemen ISYS's dates are here. 4th, 5th & 6th November. Team ISYS is proud to announce participant registrations for ISYS'16. It brings you the opp...ortunity to be a part of something great. To be a part of our event please fill the form and register yourself at: https://docs.google.com/…/1FAIpQLSeQiHJPgW9T_pE9D8…/viewform Liaison Package for guidance is provided at the following link: https://drive.google.com/…/0B5FAaaziyQfWQkJ6SGNjZHBrV…/view… For further details please stay tuned to our facebook page: https://www.facebook.com/isys.giki/?fref=ts and our event page: https://www.facebook.com/events/311641259197204/ For any guidance and queries please email us at: sciencesociety.giki@gmail.com",{}
" Our registrations will close on 17th October, 2016, if our limited slots aren't filled up already by then. You can register here at http://netronixgiki.com/register.html Registration 1. Incomplete registration forms will not be entertained. 2. Please mention clearly the name of the Team Leader of every team; as all correspondence between NETRONiX and the team will be through the team leader. 3. There are two categories for registration: UGX and HACKTRiX. Participants registering… NETRONIXGIKI.COM",{}
" Our registrations will close on 17th October, 2016, if our limited slots aren't filled up already by then. You can register here at http://netronixgiki.com/register.html Registration 1. Incomplete registration forms will not be entertained. 2. Please mention clearly the name of the Team Leader of every team; as all correspondence between NETRONiX and the team will be through the team leader. 3. There are two categories for registration: UGX and HACKTRiX. Participants registering… NETRONIXGIKI.COM",{}
"The short notes on a new chapter ""Analysis of Financial Statements"" is uploaded at Finance Academy. This short video will give you an overview on topics covered... in short notes. To read full chapter short notes please visit Finance Academy at www.wssmeu.com !!!! LIKE & SHARE this page to get more updates related to NEWS & ACADEMIC MATERIAL on FINANCE....!!!!! Thanks in anticipation.....!!!!!! http://wssmeu.com/…/fm-by-va…/financial-statements-analysis/",{}
"2 Days Hands on ""Wireless Hacking"" Workshop in Islamabad on 29th and 30th October. Contact : 03215010586 https://www.facebook.com/events/330407683980833",{}
Are you facing financial problems??? Do you want to get out of your financial problems??? Watch this video (Click on Link to Watch) to find the way.........Please LIKE & SHARE this page to get more.....!!!!! https://www.facebook.com/finance.ac/?ref=aymt_homepage_panel,{}
"We need people who have fair English communication skills, The job is regarding calling people in America and producing sales, However we offer 15000-18000 basic salary+ daily bonus. job timing 7:00 pm-4:00 am.(night shift), Pick and drop for females. We have two centers in Shamsabad Pindi and Blue area Islmbd. Contact me 4 interview from my page and like it or inbox me https://www.facebook.com/Rawalpindi-Islamabad-Call-Center-things-139206979840933/?ref=settings",{}
,{}
We are taking bookings for-NOV -DEC 2016 for Wedding Events across Pakistan. Slots are open for reservation on first come first serve basis. for package details kindly inbox here or drop an email at focusproz@outlook.com or give us a call at 091-5711332 - 0315-0990102 And visit to our official page www.facebook.com/focusproz,{}
"Hiring Fresh BBA/MBA/MS Supply Chain Management candidates for the position of Buying (Procurement) vacant in our Islamabad's office of Ovex Technologies (Pvt.) LTD The ideal candidate must possess excellent communication skills,good IT knowledge of software products,Software licensing, Procurement cycle, Purchase Orders, ERP (SAP) ,MS-Office Suite Salary : Market Competitive (with benefits) Job Timings: Night Shift (09pm-06am) Apply/Refer at: mehtisham@enpointe.com (Mention ...Name of The post in subject) Note: >Excellent English Communication is a must >Only relevant candidates will be contacted",{}
" (Lahore Candidates are Preferable!)  Male/Female, Staff Required For the Following Office & Home Based Duties. #IT Advertisement Panel home or office based working:  home based opportunity available but First time you have to Come Must in office.! Matriculation, intermediate, Graduates master, job holders person's.  Online Counseling, Indoor Marketing, Networking, Online Social Advertisement,, network Marketing though social Media.  2 to 4Hours Adjustable Duty Attractive Income With Incentives (20000 to 25000+) #Education, Teaching in Office, Presentation & Motivational Trainings for New candidates.  Graduation, Master's Required, Daily, Weekly, Monthly Basis Income. Salary Depends On Your Interview. (20 to 30000+)  #Office Desk JOB, Interviews Conducting, File Management,office Management, Counseling Office Activities. Part Time & Full Time, Daily, Weekly, Monthly Basis Income. Salary Depends On Your Interview. Intermediate, Graduation,Masters . ( 20 to 25000+) #To Apply :Candidates Send Their Short CV  (NAME,CURRENT LOCATION, QUALIFICATION, AGE, EMAIL ADDRESS ) on 0310-4980198   (Do Mention the Job title)  #Note:  Best For Lahore Candidates. other cities person's can also join home based but Interview  Is Compulsory For Every Position, Even If You Are Applying home based.....!",{}
"Fresh Marketing and Supply Chain Graduates can now apply for entry level positions at Ovex Technologies (Pvt.) LTD Islamabad Position Titles: 1-Partner Specialist  2- Renewal Analyst ... 3-Vendor Specialist  4-Buying Officer 5-Business Development Executive The ideal candidates for all positions must possess Excellent Communication Skills, Good Knowledge of IT, MS-Office Skills",{}
AI Logica (Lahore) is looking for Senior Game 3D Animator / 3D Modeler / CG Artists.,{}
" #Online Marketing & Advertisement: home based...   #Note(but first time you have to come must in office AT Lahore)  25 Vacancies  Income Offered: 15,000 to 20,000+ Qualification Required:  Matriculation, intermediate, Graduates, Job holders person's  Duties: Online Social Sites Advertising, Online Marketing, Counseling,Fb add posting online Networking #Educational & Trainings....! 10Vacancies  Income Offered: 20,000 to 30000+ Qualification Required: Intermediate+, graduates, Master's  Office Location: Lahore  Duties: Regular Trainings,  IT Courses, Skill Teaching,motivation  lecture. #To Apply :Candidates Send Their Short CV  (NAME,CURRENT LOCATION, QUALIFICATION, AGE, EMAIL ADDRESS ) on 0310-4980198   (Do Mention the Job title)  #Note: Best For Lahore Candidates. other cities person's can also join home based but Interview  Is Compulsory For Every Position, Even If You Are Applying home based......!!",{}
,{}
,{}
"Kindly share in your circle, You might be the reason someone gets a job :: SALES EXECUTIVE REQUIRED :: :Deadline For Application: 20 Dec 2016 A NUST based IoT (Internet of Things) project is hiring passionate young individuals who want to kick-start their career in Sales and Marketing . Before sending us your CV, kindly review. Add the relevant experience/ projects that you might have done. Remove any unnecessary details. Generic CVs will be discarded. Minimum Experience:...   Fresh Graduates with Excellent communication and engagement skills and minimum 1 year relevant experience in technical product sales and marketing.  Knowledge & Skills: • Excellent presentation and negotiation skills • Great in dealing with people in general. • Can handle stressful situation and find a solution to unique problems • Good organizational skills • Excellent written and oral communication skills (English and Urdu) • Excellent organizational and time management skills Send your CVs at electronics.cv.nust@gmail.com",{}
Hurry up Guys !!! Registrations are Open ! https://ncscliaison.typeform.com/to/XBpXU2 Final date for participant registration is 20th December Just click for Re...gistration. Don't miss this opportunity! #Registrations_Open #Cash_Prizes #Zion '16  #NCSC_EGaming #Al_Qalam #This_New_Years_Eve,{}
Hurry up Guys !!! Registrations are Open ! https://ncscliaison.typeform.com/to/XBpXU2 Final date for participant registration is 20th December Just click for Re...gistration. Don't miss this opportunity! #Registrations_Open #Cash_Prizes #Zion '16  #NCSC_EGaming #Al_Qalam #This_New_Years_Eve,{}
"InVogue Sol. is looking for a passionate Unity(2D/3D) game developer. Candidate must have developed at-least 2/3 games for IOS/Android platform. It's a great opportunity! to join emerging startup. Following are some mandatory requirements.  Unity game development experience Excellent Scripting skills  Optimum Game logic and AI abilities... Must know Unity GUI, Asset Bundles, Mameory Management Materials/Shaders, particle system etc Must be able to provide top UI/UX experience Expertise in utilizing foundations of OOP & design pattrens Must participate in all phases of project lifecycle (design, build, test) Must provide links of apps",{}
" - 1-2 years of PHP experience... - Experience of (Zend, CodeIgnitor, CackePHP, or similar frameworks) - Must Have Experience of Open Source Systems Oddo & ERP NEXT (So Should be familiar with Python basics ) - Object-oriented programming - Proficient in JavaScript, Jquery, HTML, CSS (Web technologies) - Proficient in My SQL and other databases - Team player - Ability to thrive in a fast-paced environment - Ability to work independently - Ability to solve complex problems - Bachelor's degree",{}
,{}
,{}
"We are hiring Quality Assurance Engineers (2 Fresh). Our team works on Automated SecuityTesting, E2E testing, DevOPs, Jenkins,TDD. Graduates who have good programming skills are encouraged to apply for this job. Send resumes to nabeel.ansar@vizteck.com",{}
,{}
- Customer Service Representative(CSR) + Content Writer is required at Techtronix Corp. - Minimum education bachelors is required (experienced or fresh). - Outstanding salary pakage with Insurance and Medical. - Candidate with good communication skills will be preferred.  Those who are willing to apply kindly send their CV's at ayesha.tabassum@techtronix.biz,{}
" Programming Languages & Technologies: PHP, SQL, HTML, CSS, JavaScript, Ajax, JQuery. Required Skills: • Bachelors degree in Computer Science • Strong problem-solving and analytical skills and ability to execute actions necessary to achieve goals. • Advanced Experience with MySQL Databases and SQL Queries to investigate issues directly on production data. • Knowledge of programming or scripting languages to help write code needed for processing data required for investigating customer issues. • Excellent communicator, verbal and written skills. • Understanding of software development life cycles. • Flexibility to work flexible hours when required. • Experience with supporting a web-based Saas application is desired, but not required.",{}
https://www.facebook.com/events/1018188071640401/?ti=cl,{}
"Hiring Fresh Marketing Graduates for the post of Marketing Specialist vacant at our Islamabad's office of Ovex Technologies (Pvt.) LTD. The ideal candidate must possess excellent communication skills,Good Knowledge of Event Management, Social Media/Online Marketing, Good command on MS Excel & Outlook.  Salary: Market Competitive. (With Benefits) Job Timings : 9pm-6am (Night Shift) Career Level : Entry Level... Apply at: lubnaakbar@enpointe.com (Mention Name of The Post in Subject)",{}
"Hiring Fresh BBA/MBA/MS Supply Chain Management candidates for the position of Software Procurement Analyst vacant in our Islamabad's office of Ovex Technologies (Pvt.) LTD The ideal candidate must possess excellent communication skills,good IT knowledge of software products,Software licensing, Procurement cycle, Purchase Orders, MS-Office Suite Salary : Market Competitive (with benefits) Job Timings: Night Shift (09pm-06am)... Apply/Refer at: mehtisham@enpointe.com (Mention Name of The post in subject) Note: >Excellent English Communication is a must >BSCS Graduates are also eligible to apply. Only if they are not inclined towards Software Development and are willing to go for Supply Management degree in future >Only relevant candidates will be contacted",{}
,{}
